85,Angola,Saurimo Airport,Saurimo,VHC,FNSA
86,Angola,Ngjiva Pereira Airport,Ondjiva,VPE,FNGI
87,Angola,Xangongo Airport,Xangongo,XGN,FNXA
88,Anguilla,Clayton J Lloyd International Airport,The Valley,AXA,TQPF
89,Antarctica,Teniente Rodolfo Marsh Martin Base,Isla Rey Jorge,TNM,SCRM
90,Antigua and Barbuda,V.C. Bird International Airport,Antigua,ANU,TAPA
91,Antigua and Barbuda,Codrington Airport,Codrington,BBQ,TAPH
92,Argentina,Jorge Newbery Airpark,Buenos Aires,AEP,SABE
93,Argentina,Suboficial Ay Santiago Germano Airport,San Rafael,AFA,SAMR
94,Argentina,Paso De Los Libres Airport,Paso De Los Libres,AOL,SARL
95,Argentina,Zapala Airport,ZAPALA,APZ,SAHZ
96,Argentina,D. Casimiro Szlapelis Airport,Alto Rio Senguer,ARR,SAVR
97,Argentina,Comandante Espora Airport,Bahia Blanca,BHI,SAZB
98,Argentina,San Carlos De Bariloche Airport,San Carlos De Bariloche,BRC,SAZS
99,Argentina,Corrientes Airport,Corrientes,CNQ,SARC
100,Argentina,Comodoro Pierrestegui Airport,Concordia,COC,SAAC
101,Argentina,Ingeniero Ambrosio Taravella Airport,Cordoba,COR,SACO
102,Argentina,Aviador C. Campos Airport,San Martin Des Andes,CPC,SAZY
103,Argentina,General E. Mosconi Airport,Comodoro Rivadavia,CRD,SAVC
104,Argentina,Brigadier D.H.E. Ruiz Airport,Colonel Suarez,CSZ,SAZC
105,Argentina,Catamarca Airport,Catamarca,CTC,SANC
106,Argentina,Cutral-Co Airport,Cutralco,CUT,SAZW
107,Argentina,El Bolson Airport,El Bolson,EHL,SAVB
108,Argentina,El Dorado Airport,El Dorado,ELO,SATD
109,Argentina,El Palomar Airport,El Palomar,EPA,SADP
110,Argentina,Brigadier Antonio Parodi Airport,Esquel,EQS,SAVE
111,Argentina,Ministro Pistarini International Airport,Buenos Aires,EZE,SAEZ
112,Argentina,San Fernando Airport,San Fernando,FDO,SADF
113,Argentina,Formosa Airport,Formosa,FMA,SARF
114,Argentina,El Calafate Airport,El Calafate,FTE,SAWC
115,Argentina,Gobernador Gregores Airport,Gobernador Gregores,GGS,SAWR
116,Argentina,Gualeguaychu Airport,Gualeguaychu,GHU,SAAG
117,Argentina,Dr. Arturo H. Illia Airport,Fuerte Gral Roca,GNR,SAHR
118,Argentina,General Pico Airport,General Pico,GPO,SAZG
119,Argentina,Chos Malal Airport,Chosmadal,HOS,SAHC
120,Argentina,Cabo F.A.A. H. R. Bordón Airport,Ingeniero Jacobacci,IGB,SAVJ
121,Argentina,Cataratas Del Iguazú International Airport,Iguazu Falls,IGR,SARI
122,Argentina,Lago Argentino Airport,El Calafate,ING,SAWA
123,Argentina,Capitan V A Almonacid Airport,La Rioja,IRJ,SANL
124,Argentina,Junin Airport,Junin,JNI,SAAJ
125,Argentina,Jose De San Martin Airport,Jose de San Martin,JSM,SAWS
126,Argentina,Gobernador Horacio Guzman International Airport,Jujuy,JUJ,SASJ
127,Argentina,Comodoro D.R. Salomón Airport,Malargue,LGS,SAMM
128,Argentina,Las Heras Airport,Las Heras,LHS,SAVH
129,Argentina,La Plata Airport,La Plata,LPG,SADL
130,Argentina,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,LUQ,SAOU
131,Argentina,Monte Caseros Airport,Monte Caseros,MCS,SARM
132,Argentina,Ástor Piazzola International Airport,Mar Del Plata,MDQ,SAZM
133,Argentina,El Plumerillo Airport,Mendoza,MDZ,SAME
134,Argentina,Sunchales Aeroclub Airport,Sunchales,NCJ,SAFS
135,Argentina,Necochea Airport,Necochea,NEC,SAZO
136,Argentina,Presidente Peron Airport,Neuquen,NQN,SAZN
137,Argentina,Antoine de Saint Exupéry Airport,San Antonio Oeste,OES,SAVN
138,Argentina,Orán Airport,Oran,ORA,SASO
139,Argentina,Olavarria Airport,Olavarria,OVR,SAZF
140,Argentina,Goya Airport,Goya,OYA,SATG
141,Argentina,Tres Arroyos Airport,Tres Arroyos,OYO,SAZH
142,Argentina,Comodoro Pedro Zanni Airport,Pehuajo,PEH,SAZP
143,Argentina,Perito Moreno Airport,Perito Moreno,PMQ,SAWP
144,Argentina,El Tehuelche Airport,Puerto Madryn,PMY,SAVY
145,Argentina,General Urquiza Airport,Parana,PRA,SAAP
146,Argentina,Termal Airport,Presidencia R.s.pena,PRQ,SARS
147,Argentina,Libertador Gral D Jose De San Martin Airport,Posadas,PSS,SARP
148,Argentina,Puerto Deseado Airport,Puerto Deseado,PUD,SAWD
149,Argentina,Reconquista Airport,Reconquista,RCQ,SATR
150,Argentina,Area De Material Airport,Rio Cuarto,RCU,SAOC
151,Argentina,Rincon De Los Sauces Airport,Rincon de los Sauces,RDS,SAHS
152,Argentina,Almirante Marco Andres Zar Airport,Trelew,REL,SAVT
153,Argentina,Resistencia International Airport,Resistencia,RES,SARE
154,Argentina,Hermes Quijada International Airport,Rio Grande,RGA,SAWE
155,Argentina,Piloto Civil N. Fernández Airport,Rio Gallegos,RGL,SAWG
156,Argentina,Termas de Río Hondo international Airport,Rio Hondo,RHD,SANR
157,Argentina,Islas Malvinas Airport,Rosario,ROS,SAAR
158,Argentina,Santa Rosa Airport,Santa Rosa,RSA,SAZR
159,Argentina,Santa Cruz Airport,Santa Cruz,RZA,SAWU
160,Argentina,Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago Del Estero,SDE,SANE
161,Argentina,Sauce Viejo Airport,Santa Fe,SFN,SAAV
162,Argentina,Sierra Grande Airport,Sierra Grande,SGV,SAVS
163,Argentina,Martin Miguel De Guemes International Airport,Salta,SLA,SASA
164,Argentina,Santa Teresita Airport,Santa Teresita,SST,SAZL
165,Argentina,Héroes De Malvinas Airport,Tandil,TDL,SAZT
166,Argentina,General Enrique Mosconi Airport,Tartagal,TTG,SAST
167,Argentina,Teniente Benjamin Matienzo Airport,Tucuman,TUC,SANT
168,Argentina,Domingo Faustino Sarmiento Airport,San Juan,UAQ,SANU
169,Argentina,Capitan D Daniel Vazquez Airport,San Julian,ULA,SAWJ
170,Argentina,Malvinas Argentinas Airport,Ushuaia,USH,SAWH
171,Argentina,Curuzu Cuatia Airport,Curuzu Cuatia,UZU,SATU
172,Argentina,Gobernador Castello Airport,Viedma,VDM,SAVV
173,Argentina,Villa Dolores Airport,Villa Dolores,VDR,SAOD
174,Argentina,Villa Gesell Airport,Villa Gesell,VLG,SAZV
175,Argentina,Villa Reynolds Airport,Villa Reynolds,VME,SAOR
176,Armenia,Zvartnots International Airport,Yerevan,EVN,UDYZ
177,Armenia,Gyumri Shirak Airport,Gyumri,LWN,UDSG
178,Aruba,Queen Beatrix International Airport,Oranjestad,AUA,TNCA
179,Australia,Alpha Airport,Alpha,ABH,YAPH
180,Australia,Northern Peninsula Airport,Amberley,ABM,YBAM
181,Australia,Albury Airport,Albury,ABX,YMAY
182,Australia,Brisbane Archerfield Airport,Brisbane,ACF,YBAF
183,Australia,Adelaide International Airport,Adelaide,ADL,YPAD
184,Australia,Albany Airport,Albany,ALH,YABA
185,Australia,Amata Airport,Amata,AMT,YAMT
186,Australia,Armidale Airport,Armidale,ARM,YARM
187,Australia,Ararat Airport,,ARY,YARA
188,Australia,Alice Springs Airport,Alice Springs,ASP,YBAS
189,Australia,Aurukun Airport,Aurukun,AUU,YAUR
190,Australia,Avalon Airport,Avalon,AVV,YMAV
191,Australia,Ayers Rock Connellan Airport,Uluru,AYQ,YAYE
192,Australia,Ballera Airport,Ballera,BBL,YLLE
193,Australia,Barcaldine Airport,Barcaldine,BCI,YBAR
194,Australia,Bundaberg Airport,Bundaberg,BDB,YBUD
195,Australia,Badu Island Airport,Badu Island,BDD,YBAU
196,Australia,Lake Macquarie Airport,Lake Macquarie,BEO,YPEC
197,Australia,Bedourie Airport,Bedourie,BEU,YBIE
198,Australia,Broken Hill Airport,Broken Hill,BHQ,YBHI
199,Australia,Bathurst Airport,Bathurst,BHS,YBTH
200,Australia,Blackall Airport,Blackall,BKQ,YBCK
201,Australia,Benalla Airport,,BLN,YBLA
202,Australia,Blackwater Airport,Blackwater,BLT,YBTR
203,Australia,Broome International Airport,Broome,BME,YBRM
204,Australia,Brampton Island Airport,Brampton Island,BMP,YBPI
205,Australia,Brisbane International Airport,Brisbane,BNE,YBBN
206,Australia,Ballina Byron Gateway Airport,Ballina Byron Bay,BNK,YBNA
207,Australia,Borroloola Airport,Borroloola,BOX,YBRL
208,Australia,Busselton Regional Airport,Brusselton,BQB,YBLN
209,Australia,Boulia Airport,Boulia,BQL,YBOU
210,Australia,Bourke Airport,Bourke,BRK,YBKE
211,Australia,Bathurst Island Airport,Bathurst Island,BRT,YBTI
212,Australia,Bairnsdale Airport,Bairnsdale,BSJ,YBNS
213,Australia,Burketown Airport,Burketown,BUC,YBKT
214,Australia,Bunbury Airport,Bunbury,BUY,YBUN
215,Australia,Birdsville Airport,Birdsville,BVI,YBDV
216,Australia,Barrow Island Airport,Barrow Island,BWB,YBWX
217,Australia,Brewarrina Airport,,BWQ,YBRW
218,Australia,Wynyard Airport,Burnie,BWT,YWYY
219,Australia,Sydney Bankstown Airport,Sydney,BWU,YSBK
220,Australia,Bendigo Airport,Bendigo,BXG,YBDG
221,Australia,Barimunya Airport,Barimunya,BYP,YBRY
222,Australia,Balranald Airport,,BZD,YBRN
223,Australia,Cobar Airport,Cobar,CAZ,YCBA
224,Australia,Canberra International Airport,Canberra,CBR,YSCB
225,Australia,Chinchilla Airport,Chinchilla,CCL,YCCA
226,Australia,Cooinda Airport,Cooinda,CDA,YCOO
227,Australia,Camden Airport,Camden,CDU,YSCN
228,Australia,Ceduna Airport,Ceduna,CED,YCDU
229,Australia,Cessnock Airport,Cessnock,CES,YCNK
230,Australia,Coffs Harbour Airport,Coff's Harbour,CFS,YSCH
231,Australia,Coondewanna Airport,Coondewanna,CJF,YCWA
232,Australia,Croker Island Airport,Croker Island,CKI,YCKI
233,Australia,Cunnamulla Airport,Cunnamulla,CMA,YCMU
234,Australia,Cootamundra Airport,,CMD,YCTM
235,Australia,Clermont Airport,Clermont,CMQ,YCMT
236,Australia,Coonamble Airport,Coonamble,CNB,YCNM
237,Australia,Coconut Island Airport,Coconut Island,CNC,YCCT
238,Australia,Cloncurry Airport,Cloncurry,CNJ,YCCY
239,Australia,Cairns International Airport,Cairns,CNS,YBCS
240,Australia,Coonabarabran Airport,Coonabarabran,COJ,YCBB
241,Australia,Coober Pedy Airport,Coober Pedy,CPD,YCBP
242,Australia,Charleville Airport,Charlieville,CTL,YBCV
243,Australia,Cooktown Airport,Cooktown,CTN,YCKN
244,Australia,Caloundra Airport,Caloundra,CUD,YCDR
245,Australia,Coen Airport,Coen,CUQ,YCOE
246,Australia,Cleve Airport,,CVC,YCEE
247,Australia,Carnarvon Airport,Carnarvon,CVQ,YCAR
248,Australia,Cowra Airport,Chatsworth,CWT,YCWR
249,Australia,Corowa Airport,,CWW,YCOR
250,Australia,Corryong Airport,,CYG,YCRG
251,Australia,Dubbo City Regional Airport,Dubbo,DBO,YSDU
252,Australia,RAAF Base Curtin,Derby,DCN,YCIN
253,Australia,Mudgee Airport,Mudgee,DGE,YMDG
254,Australia,Dunk Island Airport,Dunk Island,DKI,YDKI
255,Australia,Docker River Airport,Docker River,DKV,YDVR
256,Australia,Dulkaninna Airport,Dulkaninna,DLK,YDLK
257,Australia,Doomadgee Airport,Doomadgee,DMD,YDMG
258,Australia,Deniliquin Airport,Deniliquin,DNQ,YDLQ
259,Australia,Devonport Airport,Devonport,DPO,YDPO
260,Australia,Derby Airport,Derby,DRB,YDBY
261,Australia,Dirranbandi Airport,,DRN,YDBI
262,Australia,Darwin International Airport,Darwin,DRW,YPDN
263,Australia,Dysart Airport,,DYA,YDYS
264,Australia,Echuca Airport,,ECH,YECH
265,Australia,Erldunda Airport,Erldunda,EDD,YERL
266,Australia,Pormpuraaw Airport,Pormpuraaw,EDR,YPMP
267,Australia,Elcho Island Airport,Elcho Island,ELC,YELD
268,Australia,Emerald Airport,Emerald,EMD,YEML
269,Australia,Esperance Airport,Esperance,EPR,YESP
270,Australia,Finke Airport,Finke,FIK,YFNE
271,Australia,Fitzroy Crossing Airport,Fitzroy Crossing,FIZ,YFTZ
272,Australia,Flinders Island Airport,Flinders Island,FLS,YFLI
273,Australia,Forrest Airport,Forrest,FOS,YFRT
274,Australia,Forbes Airport,Forbes,FRB,YFBS
275,Australia,Gayndah Airport,Gayndah,GAH,YGAY
276,Australia,Geraldton Airport,Geraldton,GET,YGEL
277,Australia,Geelong Airport,Geelong,GEX,YGLG
278,Australia,Griffith Airport,Griffith,GFF,YGTH
279,Australia,Grafton Airport,Grafton,GFN,YGFN
280,Australia,Boigu Airport,Boigu,GIC,YBOI
281,Australia,Great Keppel Is Airport,Great Keppel Island,GKL,YGKL
282,Australia,Glen Innes Airport,Glen Innes,GLI,YGLI
283,Australia,Gladstone Airport,Gladstone,GLT,YGLA
284,Australia,Goondiwindi Airport,Goondiwindi,GOO,YGDI
285,Australia,Gove Airport,Gove,GOV,YPGV
286,Australia,Garden Point Airport,Pirlangimpi,GPN,YGPT
287,Australia,Groote Eylandt Airport,Groote Eylandt,GTE,YGTE
288,Australia,Gunnedah Airport,,GUH,YGDH
289,Australia,Goulburn Airport,Goulburn,GUL,YGLB
290,Australia,Argyle Airport,Argyle,GYL,YARG
291,Australia,Hobart International Airport,Hobart,HBA,YMHB
292,Australia,Halls Creek Airport,Halls Creek,HCQ,YHLC
293,Australia,Hughenden Airport,Hughenden,HGD,YHUG
294,Australia,Horn Island Airport,Horn Island,HID,YHID
295,Australia,Hamilton Airport,Hamilton,HLT,YHML
296,Australia,Hermannsburg Airport,Hermannsburg,HMG,YHMB
297,Australia,Hooker Creek Airport,Hooker Creek,HOK,YHOO
298,Australia,Horsham Airport,Horsham,HSM,YHSM
