name, codename, country, iata, icao, type
Herat Airport,Herat,Afghanistan,HEA,OAHR,airport
Jalalabad Airport,Jalalabad,Afghanistan,JAA,OAJL,airport
Hamid Karzai International Airport,Kabul,Afghanistan,KBL,OAKB,airport
Kandahar Airport,Kandahar,Afghanistan,KDH,OAKN,airport
Maimana Airport,Maimama,Afghanistan,MMZ,OAMN,airport
Mazar I Sharif Airport,Mazar-i-sharif,Afghanistan,MZR,OAMS,airport
Shindand Airport,Shindand,Afghanistan,OAH,OASD,airport
Konduz Airport,Kunduz,Afghanistan,UND,OAUZ,airport
Fayzabad Airport,Faizabad,Afghanistan,FBD,OAFZ,airport
Bagram Air Base,Kabul,Afghanistan,OAI,OAIX,airport
Tarin Kowt Airport,Tarin Kowt,Afghanistan,TII,OATN,airport
Zaranj Airport,Zaranj,Afghanistan,ZAJ,OAZJ,airport
Chakcharan Airport,Chaghcharan,Afghanistan,CCN,OACC,airport
Camp Bastion Airport,Camp Bastion,Afghanistan,OAZ,OAZI,airport
Khost Airport,Khost,Afghanistan,KHT,OAKS,airport
Sharana Airstrip,Sharona,Afghanistan,OAS,OASA,airport
Shank Air Base,Shank,Afghanistan,OAA,OASH,airport
Bost Airport,Lashkar Gah,Afghanistan,BST,OABT,airport
Bamiyan Airport,Bamyan,Afghanistan,BIN,OABN,airport
Farah Airport,Farah,Afghanistan,FAH,OAFR,airport
Ghazni Airport,Ghazni,Afghanistan,GZI,OAGN,airport
Tirana International Airport Mother Teresa,Tirana,Albania,TIA,LATI,airport
Blida Airport,Blida,Algeria,QLD,DAAB,airport
Bou Saada Airport,Bou Saada,Algeria,BUJ,DAAD,airport
Soummam Airport,Bejaja,Algeria,BJA,DAAE,airport
Houari Boumediene Airport,Algier,Algeria,ALG,DAAG,airport
Djanet Inedbirene Airport,Djanet,Algeria,DJG,DAAJ,airport
Illizi Takhamalt Airport,Illizi,Algeria,VVZ,DAAP,airport
Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,DAAT,airport
Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL,DAAV,airport
Mecheria Airport,Mecheria,Algeria,MZW,DAAY,airport
Rabah Bitat Airport,Annaba,Algeria,AAE,DABB,airport
Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,DABC,airport
Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,DABS,airport
Hassi R'Mel Airport,Tilrempt,Algeria,HRM,DAFH,airport
Bou Chekif Airport,Tiaret,Algeria,TID,DAOB,airport
Tindouf Airport,Tindouf,Algeria,TIN,DAOF,airport
Ech Cheliff Airport,Ech-cheliff,Algeria,CFK,DAOI,airport
Tafaraoui Airport,Oran,Algeria,TAF,DAOL,airport
Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,DAON,airport
Es Senia Airport,Oran,Algeria,ORN,DAOO,airport
Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,BFW,DAOS,airport
Ghriss Airport,Ghriss,Algeria,MUW,DAOV,airport
Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,DAUA,airport
Biskra Airport,Biskra,Algeria,BSK,DAUB,airport
El Golea Airport,El Golea,Algeria,ELG,DAUE,airport
Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,DAUG,airport
Oued Irara Airport,Hassi Messaoud,Algeria,HME,DAUH,airport
In Salah Airport,In Salah,Algeria,INZ,DAUI,airport
Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,DAUK,airport
Laghouat Airport,Laghouat,Algeria,LOO,DAUL,airport
Timimoun Airport,Timimoun,Algeria,TMX,DAUT,airport
Ain el Beida Airport,Ouargla,Algeria,OGX,DAUU,airport
In Aménas Airport,Zarzaitine,Algeria,IAM,DAUZ,airport
Batna Airport,Batna,Algeria,BLJ,DABT,airport
Béchar Boudghene Ben Ali Lotfi Airport,Béchar,Algeria,CBH,DAOR,airport
Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,Algeria,BMW,DATM,airport
Guemar Airport,Guemar,Algeria,ELU,DAUO,airport
Ain Arnat Airport,Setif,Algeria,QSF,DAAS,airport
Tsletsi Airport,Djelfa,Algeria,QDJ,DAFI,airport
El Bayadh Airport,El Bayadh,Algeria,EBH,DAOY,airport
Pago Pago International Airport,Pago Pago,American Samoa,PPG,NSTU,airport
Fitiuta Airport,Fiti\'uta,American Samoa,FTI,NSFQ,airport
Mbanza Congo Airport,M'banza-congo,Angola,SSY,FNBC,airport
Benguela Airport,Benguela,Angola,BUG,FNBG,airport
Cabinda Airport,Cabinda,Angola,CAB,FNCA,airport
Nova Lisboa Airport,Huambo,Angola,NOV,FNHU,airport
Kuito Airport,Kuito,Angola,SVP,FNKU,airport
Quatro de Fevereiro Airport,Luanda,Angola,LAD,FNLU,airport
Malanje Airport,Malanje,Angola,MEG,FNMA,airport
Menongue Airport,Menongue,Angola,SPP,FNME,airport
Negage Airport,Negage,Angola,GXG,FNNG,airport
Porto Amboim Airport,Porto Amboim,Angola,PBN,FNPA,airport
Saurimo Airport,Saurimo,Angola,VHC,FNSA,airport
Soyo Airport,Soyo,Angola,SZA,FNSO,airport
Lubango Airport,Lubango,Angola,SDD,FNUB,airport
Luena Airport,Luena,Angola,LUO,FNUE,airport
Uige Airport,Uige,Angola,UGO,FNUG,airport
Xangongo Airport,Xangongo,Angola,XGN,FNXA,airport
Catumbela Airport,Catumbela,Angola,CBT,FNCT,airport
Dundo Airport,Dundo,Angola,DUE,FNDU,airport
Ngjiva Pereira Airport,Ondjiva,Angola,VPE,FNGI,airport
Namibe Airport,Mocamedes,Angola,MSZ,FNMO,airport
Nzagi Airport,Nzagi,Angola,NZA,FNZG,airport
Lucapa Airport,Lucapa,Angola,LBZ,FNLK,airport
Capanda Airport,Kapanda,Angola,KNP,FNCP,airport
Sumbe Airport,Sumbe,Angola,NDD,FNSU,airport
Clayton J Lloyd International Airport,The Valley,Anguilla,AXA,TQPF,airport
Teniente Rodolfo Marsh Martin Base,Isla Rey Jorge,Antarctica,TNM,SCRM,airport
V.C. Bird International Airport,Antigua,Antigua and Barbuda,ANU,TAPA,airport
Codrington Airport,Codrington,Antigua and Barbuda,BBQ,TAPH,airport
Comodoro Pierrestegui Airport,Concordia,Argentina,COC,SAAC,airport
Gualeguaychu Airport,Gualeguaychu,Argentina,GHU,SAAG,airport
Junin Airport,Junin,Argentina,JNI,SAAJ,airport
General Urquiza Airport,Parana,Argentina,PRA,SAAP,airport
Islas Malvinas Airport,Rosario,Argentina,ROS,SAAR,airport
Sauce Viejo Airport,Santa Fe,Argentina,SFN,SAAV,airport
Jorge Newbery Airpark,Buenos Aires,Argentina,AEP,SABE,airport
Ingeniero Ambrosio Taravella Airport,Cordoba,Argentina,COR,SACO,airport
San Fernando Airport,San Fernando,Argentina,FDO,SADF,airport
La Plata Airport,La Plata,Argentina,LPG,SADL,airport
El Palomar Airport,El Palomar,Argentina,EPA,SADP,airport
Chos Malal Airport,Chosmadal,Argentina,HOS,SAHC,airport
Dr. Arturo H. Illia Airport,Fuerte Gral Roca,Argentina,GNR,SAHR,airport
El Plumerillo Airport,Mendoza,Argentina,MDZ,SAME,airport
Comodoro D.R. Salomón Airport,Malargue,Argentina,LGS,SAMM,airport
Suboficial Ay Santiago Germano Airport,San Rafael,Argentina,AFA,SAMR,airport
Catamarca Airport,Catamarca,Argentina,CTC,SANC,airport
Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago Del Estero,Argentina,SDE,SANE,airport
Capitan V A Almonacid Airport,La Rioja,Argentina,IRJ,SANL,airport
Teniente Benjamin Matienzo Airport,Tucuman,Argentina,TUC,SANT,airport
Domingo Faustino Sarmiento Airport,San Juan,Argentina,UAQ,SANU,airport
Area De Material Airport,Rio Cuarto,Argentina,RCU,SAOC,airport
Villa Dolores Airport,Villa Dolores,Argentina,VDR,SAOD,airport
Villa Reynolds Airport,Villa Reynolds,Argentina,VME,SAOR,airport
Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,Argentina,LUQ,SAOU,airport
Corrientes Airport,Corrientes,Argentina,CNQ,SARC,airport
Resistencia International Airport,Resistencia,Argentina,RES,SARE,airport
Formosa Airport,Formosa,Argentina,FMA,SARF,airport
Cataratas Del Iguazú International Airport,Iguazu Falls,Argentina,IGR,SARI,airport
Paso De Los Libres Airport,Paso De Los Libres,Argentina,AOL,SARL,airport
Monte Caseros Airport,Monte Caseros,Argentina,MCS,SARM,airport
Libertador Gral D Jose De San Martin Airport,Posadas,Argentina,PSS,SARP,airport
Termal Airport,Presidencia R.s.pena,Argentina,PRQ,SARS,airport
Martin Miguel De Guemes International Airport,Salta,Argentina,SLA,SASA,airport
Gobernador Horacio Guzman International Airport,Jujuy,Argentina,JUJ,SASJ,airport
Orán Airport,Oran,Argentina,ORA,SASO,airport
El Dorado Airport,El Dorado,Argentina,ELO,SATD,airport
Goya Airport,Goya,Argentina,OYA,SATG,airport
Reconquista Airport,Reconquista,Argentina,RCQ,SATR,airport
Curuzu Cuatia Airport,Curuzu Cuatia,Argentina,UZU,SATU,airport
El Bolson Airport,El Bolson,Argentina,EHL,SAVB,airport
General E. Mosconi Airport,Comodoro Rivadavia,Argentina,CRD,SAVC,airport
Brigadier Antonio Parodi Airport,Esquel,Argentina,EQS,SAVE,airport
Almirante Marco Andres Zar Airport,Trelew,Argentina,REL,SAVT,airport
Gobernador Castello Airport,Viedma,Argentina,VDM,SAVV,airport
El Tehuelche Airport,Puerto Madryn,Argentina,PMY,SAVY,airport
Puerto Deseado Airport,Puerto Deseado,Argentina,PUD,SAWD,airport
Hermes Quijada International Airport,Rio Grande,Argentina,RGA,SAWE,airport
Piloto Civil N. Fernández Airport,Rio Gallegos,Argentina,RGL,SAWG,airport
Malvinas Argentinas Airport,Ushuaia,Argentina,USH,SAWH,airport
Capitan D Daniel Vazquez Airport,San Julian,Argentina,ULA,SAWJ,airport
Perito Moreno Airport,Perito Moreno,Argentina,PMQ,SAWP,airport
Santa Cruz Airport,Santa Cruz,Argentina,RZA,SAWU,airport
Comandante Espora Airport,Bahia Blanca,Argentina,BHI,SAZB,airport
Brigadier D.H.E. Ruiz Airport,Colonel Suarez,Argentina,CSZ,SAZC,airport
Olavarria Airport,Olavarria,Argentina,OVR,SAZF,airport
General Pico Airport,General Pico,Argentina,GPO,SAZG,airport
Tres Arroyos Airport,Tres Arroyos,Argentina,OYO,SAZH,airport
Ástor Piazzola International Airport,Mar Del Plata,Argentina,MDQ,SAZM,airport
Presidente Peron Airport,Neuquen,Argentina,NQN,SAZN,airport
Comodoro Pedro Zanni Airport,Pehuajo,Argentina,PEH,SAZP,airport
Santa Rosa Airport,Santa Rosa,Argentina,RSA,SAZR,airport
San Carlos De Bariloche Airport,San Carlos De Bariloche,Argentina,BRC,SAZS,airport
Héroes De Malvinas Airport,Tandil,Argentina,TDL,SAZT,airport
Villa Gesell Airport,Villa Gesell,Argentina,VLG,SAZV,airport
Cutral-Co Airport,Cutralco,Argentina,CUT,SAZW,airport
Aviador C. Campos Airport,San Martin Des Andes,Argentina,CPC,SAZY,airport
Ministro Pistarini International Airport,Buenos Aires,Argentina,EZE,SAEZ,airport
El Calafate Airport,El Calafate,Argentina,FTE,SAWC,airport
General Enrique Mosconi Airport,Tartagal,Argentina,TTG,SAST,airport
Las Heras Airport,Las Heras,Argentina,LHS,SAVH,airport
Antoine de Saint Exupéry Airport,San Antonio Oeste,Argentina,OES,SAVN,airport
Lago Argentino Airport,El Calafate,Argentina,ING,SAWA,airport
Gobernador Gregores Airport,Gobernador Gregores,Argentina,GGS,SAWR,airport
Santa Teresita Airport,Santa Teresita,Argentina,SST,SAZL,airport
Necochea Airport,Necochea,Argentina,NEC,SAZO,airport
Zapala Airport,ZAPALA,Argentina,APZ,SAHZ,airport
Rincon De Los Sauces Airport,Rincon de los Sauces,Argentina,RDS,SAHS,airport
Sierra Grande Airport,Sierra Grande,Argentina,SGV,SAVS,airport
Cabo F.A.A. H. R. Bordón Airport,Ingeniero Jacobacci,Argentina,IGB,SAVJ,airport
D. Casimiro Szlapelis Airport,Alto Rio Senguer,Argentina,ARR,SAVR,airport
Jose De San Martin Airport,Jose de San Martin,Argentina,JSM,SAWS,airport
Termas de Río Hondo international Airport,Rio Hondo,Argentina,RHD,SANR,airport
Sunchales Aeroclub Airport,Sunchales,Argentina,NCJ,SAFS,airport
Zvartnots International Airport,Yerevan,Armenia,EVN,UDYZ,airport
Gyumri Shirak Airport,Gyumri,Armenia,LWN,UDSG,airport
Queen Beatrix International Airport,Oranjestad,Aruba,AUA,TNCA,airport
Brisbane Archerfield Airport,Brisbane,Australia,ACF,YBAF,airport
Northern Peninsula Airport,Amberley,Australia,ABM,YBAM,airport
Alice Springs Airport,Alice Springs,Australia,ASP,YBAS,airport
Brisbane International Airport,Brisbane,Australia,BNE,YBBN,airport
Gold Coast Airport,Coolangatta,Australia,OOL,YBCG,airport
Cairns International Airport,Cairns,Australia,CNS,YBCS,airport
Charleville Airport,Charlieville,Australia,CTL,YBCV,airport
Mount Isa Airport,Mount Isa,Australia,ISA,YBMA,airport
Sunshine Coast Airport,Maroochydore,Australia,MCY,YBMC,airport
Mackay Airport,Mackay,Australia,MKY,YBMK,airport
Proserpine Whitsunday Coast Airport,Prosserpine,Australia,PPP,YBPN,airport
Rockhampton Airport,Rockhampton,Australia,ROK,YBRK,airport
Townsville Airport,Townsville,Australia,TSV,YBTL,airport
Weipa Airport,Weipa,Australia,WEI,YBWP,airport
Avalon Airport,Avalon,Australia,AVV,YMAV,airport
Albury Airport,Albury,Australia,ABX,YMAY,airport
Melbourne Essendon Airport,Melbourne,Australia,MEB,YMEN,airport
Hobart International Airport,Hobart,Australia,HBA,YMHB,airport
Launceston Airport,Launceston,Australia,LST,YMLT,airport
Melbourne Moorabbin Airport,Melbourne,Australia,MBW,YMMB,airport
Melbourne International Airport,Melbourne,Australia,MEL,YMML,airport
Adelaide International Airport,Adelaide,Australia,ADL,YPAD,airport
Perth Jandakot Airport,Perth,Australia,JAD,YPJT,airport
Karratha Airport,Karratha,Australia,KTA,YPKA,airport
Kalgoorlie Boulder Airport,Kalgoorlie,Australia,KGI,YPKG,airport
Kununurra Airport,Kununurra,Australia,KNX,YPKU,airport
Learmonth Airport,Learmonth,Australia,LEA,YPLM,airport
Port Hedland International Airport,Port Hedland,Australia,PHE,YPPD,airport
Perth International Airport,Perth,Australia,PER,YPPH,airport
Woomera Airfield,Woomera,Australia,UMR,YPWR,airport
Sydney Bankstown Airport,Sydney,Australia,BWU,YSBK,airport
Canberra International Airport,Canberra,Australia,CBR,YSCB,airport
Coffs Harbour Airport,Coff's Harbour,Australia,CFS,YSCH,airport
Camden Airport,Camden,Australia,CDU,YSCN,airport
Dubbo City Regional Airport,Dubbo,Australia,DBO,YSDU,airport
RAAF Base Richmond,Richmond,Australia,XRH,YSRI,airport
Sydney Kingsford Smith International Airport,Sydney,Australia,SYD,YSSY,airport
Tamworth Airport,Tamworth,Australia,TMW,YSTW,airport
Wagga Wagga City Airport,Wagga Wagga,Australia,WGA,YSWG,airport
Emerald Airport,Emerald,Australia,EMD,YEML,airport
Darwin International Airport,Darwin,Australia,DRW,YPDN,airport
Ayers Rock Connellan Airport,Uluru,Australia,AYQ,YAYE,airport
Kingscote Airport,Kingscote,Australia,KGC,YKSC,airport
Hervey Bay Airport,Hervey Bay,Australia,HVB,YHBA,airport
Armidale Airport,Armidale,Australia,ARM,YARM,airport
Blackall Airport,Blackall,Australia,BKQ,YBCK,airport
Bundaberg Airport,Bundaberg,Australia,BDB,YBUD,airport
Thangool Airport,Biloela,Australia,THG,YTNG,airport
Ballina Byron Gateway Airport,Ballina Byron Bay,Australia,BNK,YBNA,airport
Broome International Airport,Broome,Australia,BME,YBRM,airport
Newcastle Airport,Newcastle,Australia,NTL,YWLM,airport
Albany Airport,Albany,Australia,ALH,YABA,airport
Argyle Airport,Argyle,Australia,GYL,YARG,airport
Aurukun Airport,Aurukun,Australia,AUU,YAUR,airport
Barcaldine Airport,Barcaldine,Australia,BCI,YBAR,airport
Badu Island Airport,Badu Island,Australia,BDD,YBAU,airport
Birdsville Airport,Birdsville,Australia,BVI,YBDV,airport
Broken Hill Airport,Broken Hill,Australia,BHQ,YBHI,airport
Hamilton Island Airport,Hamilton Island,Australia,HTI,YBHM,airport
Bedourie Airport,Bedourie,Australia,BEU,YBIE,airport
Bourke Airport,Bourke,Australia,BRK,YBKE,airport
Burketown Airport,Burketown,Australia,BUC,YBKT,airport
Boigu Airport,Boigu,Australia,GIC,YBOI,airport
Oakey Airport,Oakey,Australia,OKY,YBOK,airport
Boulia Airport,Boulia,Australia,BQL,YBOU,airport
Bathurst Airport,Bathurst,Australia,BHS,YBTH,airport
Blackwater Airport,Blackwater,Australia,BLT,YBTR,airport
Carnarvon Airport,Carnarvon,Australia,CVQ,YCAR,airport
Cobar Airport,Cobar,Australia,CAZ,YCBA,airport
Coober Pedy Airport,Coober Pedy,Australia,CPD,YCBP,airport
Coconut Island Airport,Coconut Island,Australia,CNC,YCCT,airport
Cloncurry Airport,Cloncurry,Australia,CNJ,YCCY,airport
Ceduna Airport,Ceduna,Australia,CED,YCDU,airport
Cooktown Airport,Cooktown,Australia,CTN,YCKN,airport
Cunnamulla Airport,Cunnamulla,Australia,CMA,YCMU,airport
Coonamble Airport,Coonamble,Australia,CNB,YCNM,airport
Coen Airport,Coen,Australia,CUQ,YCOE,airport
Cooma Snowy Mountains Airport,Cooma,Australia,OOM,YCOM,airport
Doomadgee Airport,Doomadgee,Australia,DMD,YDMG,airport
Darnley Island Airport,Darnley Island,Australia,NLF,YDNI,airport
Devonport Airport,Devonport,Australia,DPO,YDPO,airport
Elcho Island Airport,Elcho Island,Australia,ELC,YELD,airport
Esperance Airport,Esperance,Australia,EPR,YESP,airport
Flinders Island Airport,Flinders Island,Australia,FLS,YFLI,airport
Geraldton Airport,Geraldton,Australia,GET,YGEL,airport
Gladstone Airport,Gladstone,Australia,GLT,YGLA,airport
Groote Eylandt Airport,Groote Eylandt,Australia,GTE,YGTE,airport
Griffith Airport,Griffith,Australia,GFF,YGTH,airport
Horn Island Airport,Horn Island,Australia,HID,YHID,airport
Hooker Creek Airport,Hooker Creek,Australia,HOK,YHOO,airport
Mount Hotham Airport,Mount Hotham,Australia,MHU,YHOT,airport
Hughenden Airport,Hughenden,Australia,HGD,YHUG,airport
Julia Creek Airport,Julia Creek,Australia,JCK,YJLC,airport
Kalbarri Airport,Kalbarri,Australia,KAX,YKBR,airport
King Island Airport,King Island,Australia,KNS,YKII,airport
Kalkgurung Airport,Kalkgurung,Australia,KFG,YKKG,airport
Karumba Airport,Karumba,Australia,KRB,YKMB,airport
Kowanyama Airport,Kowanyama,Australia,KWM,YKOW,airport
Kubin Airport,Kubin,Australia,KUG,YKUB,airport
Leonora Airport,Leonora,Australia,LNO,YLEO,airport
Lake Evella Airport,Lake Evella,Australia,LEL,YLEV,airport
Lord Howe Island Airport,Lord Howe Island,Australia,LDH,YLHI,airport
Lockhart River Airport,Lockhart River,Australia,IRG,YLHR,airport
Lismore Airport,Lismore,Australia,LSY,YLIS,airport
Lightning Ridge Airport,Lightning Ridge,Australia,LHG,YLRD,airport
Longreach Airport,Longreach,Australia,LRE,YLRE,airport
Leinster Airport,Leinster,Australia,LER,YLST,airport
Laverton Airport,Laverton,Australia,LVO,YLTN,airport
Mabuiag Island Airport,Mabuiag Island,Australia,UBB,YMAA,airport
Meekatharra Airport,Meekatharra,Australia,MKR,YMEK,airport
Merimbula Airport,Merimbula,Australia,MIM,YMER,airport
Milingimbi Airport,Milingimbi,Australia,MGT,YMGB,airport
Maningrida Airport,Maningrida,Australia,MNG,YMGD,airport
McArthur River Mine Airport,McArthur River Mine,Australia,MCV,YMHU,airport
Mildura Airport,Mildura,Australia,MQL,YMIA,airport
Mount Magnet Airport,Mount Magnet,Australia,MMG,YMOG,airport
Moree Airport,Moree,Australia,MRZ,YMOR,airport
Moranbah Airport,Moranbah,Australia,MOV,YMRB,airport
Moruya Airport,Moruya,Australia,MYA,YMRY,airport
Mount Gambier Airport,Mount Gambier,Australia,MGB,YMTG,airport
Mornington Island Airport,Mornington Island,Australia,ONG,YMTI,airport
Murray Island Airport,Murray Island,Australia,MYI,YMUI,airport
Maryborough Airport,Maryborough,Australia,MBH,YMYB,airport
Narrandera Airport,Narrandera,Australia,NRA,YNAR,airport
Narrabri Airport,Narrabri,Australia,NAA,YNBR,airport
Normanton Airport,Normanton,Australia,NTN,YNTN,airport
Newman Airport,Newman,Australia,ZNE,YNWN,airport
Olympic Dam Airport,Olympic Dam,Australia,OLP,YOLD,airport
Port Augusta Airport,Argyle,Australia,PUG,YPAG,airport
Palm Island Airport,Palm Island,Australia,PMK,YPAM,airport
Paraburdoo Airport,Paraburdoo,Australia,PBO,YPBO,airport
Gove Airport,Gove,Australia,GOV,YPGV,airport
Parkes Airport,Parkes,Australia,PKE,YPKS,airport
Port Lincoln Airport,Port Lincoln,Australia,PLO,YPLC,airport
Pormpuraaw Airport,Pormpuraaw,Australia,EDR,YPMP,airport
Port Macquarie Airport,Port Macquarie,Australia,PQQ,YPMQ,airport
Portland Airport,Portland,Australia,PTJ,YPOD,airport
Quilpie Airport,Quilpie,Australia,ULP,YQLP,airport
Ramingining Airport,Ramingining,Australia,RAM,YRNG,airport
Roma Airport,Roma,Australia,RMA,YROM,airport
St George Airport,St George,Australia,SGO,YSGE,airport
Shark Bay Airport,Shark Bay,Australia,MJK,YSHK,airport
Saibai Island Airport,Saibai Island,Australia,SBR,YSII,airport
Strahan Airport,Strahan,Australia,SRN,YSRN,airport
Thargomindah Airport,Thargomindah,Australia,XTG,YTGM,airport
Tennant Creek Airport,Tennant Creek,Australia,TCA,YTNK,airport
Victoria River Downs Airport,Victoria River Downs,Australia,VCD,YVRD,airport
Warraber Island Airport,Sue Islet,Australia,SYU,YWBS,airport
Windorah Airport,Windorah,Australia,WNR,YWDH,airport
Whyalla Airport,Whyalla,Australia,WYA,YWHA,airport
Wiluna Airport,Wiluna,Australia,WUN,YWLU,airport
Wollongong Airport,Wollongong,Australia,WOL,YWOL,airport
Winton Airport,Winton,Australia,WIN,YWTN,airport
Wynyard Airport,Burnie,Australia,BWT,YWYY,airport
Yorke Island Airport,Yorke Island,Australia,OKR,YYKI,airport
Yam Island Airport,Yam Island,Australia,XMY,YYMI,airport
Mount Keith Airport,Mount Keith,Australia,WME,YMNE,airport
Grafton Airport,Grafton,Australia,GFN,YGFN,airport
Orange Airport,Orange,Australia,OAG,YORG,airport
Taree Airport,Taree,Australia,TRO,YTRE,airport
Goulburn Airport,Goulburn,Australia,GUL,YGLB,airport
Cessnock Airport,Cessnock,Australia,CES,YCNK,airport
Scone Airport,Scone,Australia,NSO,YSCO,airport
Mudgee Airport,Mudgee,Australia,DGE,YMDG,airport
Maitland Airport,Maitland,Australia,MTL,YMND,airport
Oceanside Municipal Airport,Fraser Island,Australia,OCN,KOKB,airport
Whitsunday Island Airport,Airlie Beach,Australia,WSY,YWHI,airport
Tindal Airport,Katherine,Australia,KTR,YPTN,airport
Nowra Airport,Nowra,Australia,NOA,YSNW,airport
Bendigo Airport,Bendigo,Australia,BXG,YBDG,airport
Toowoomba Airport,Toowoomba,Australia,TWB,YTWB,airport
Ballera Airport,Ballera,Australia,BBL,YLLE,airport
Barrow Island Airport,Barrow Island,Australia,BWB,YBWX,airport
Derby Airport,Derby,Australia,DRB,YDBY,airport
Walgett Airport,Walgett,Australia,WGE,YWLG,airport
Bathurst Island Airport,Bathurst Island,Australia,BRT,YBTI,airport
Dunk Island Airport,Dunk Island,Australia,DKI,YDKI,airport
Lizard Island Airport,Lizard Island,Australia,LZR,YLZI,airport
Hamilton Airport,Hamilton,Australia,HLT,YHML,airport
Halls Creek Airport,Halls Creek,Australia,HCQ,YHLC,airport
Fitzroy Crossing Airport,Fitzroy Crossing,Australia,FIZ,YFTZ,airport
Ravensthorpe Airport,Ravensthorpe,Australia,RVT,YNRV,airport
Geelong Airport,Geelong,Australia,GEX,YGLG,airport
Penneshaw Airport,Penneshaw,Australia,PEA,YPSH,airport
Cooinda Airport,Cooinda,Australia,CDA,YCOO,airport
Jabiru Airport,Jabiru,Australia,JAB,YJAB,airport
Telfer Airport,Telfer,Australia,TEF,YTEF,airport
Renmark Airport,Renmark,Australia,RMK,YREN,airport
Leigh Creek Airport,Leigh Creek,Australia,LGH,YLEC,airport
Rottnest Island Airport,Rottnest Island,Australia,RTS,YRTI,airport
Forrest Airport,Forrest,Australia,FOS,YFRT,airport
Mallacoota Airport,Mallacoota,Australia,XMC,YMCO,airport
Yuendumu Airport,Yuendumu ,Australia,YUE,YYND,airport
Yalata Mission Airport,Yalata,Australia,KYI,YYTA,airport
Wyndham Airport,Wyndham,Australia,WYN,YWYM,airport
Great Keppel Is Airport,Great Keppel Island,Australia,GKL,YGKL,airport
Roper Bar Airport,Roper Bar,Australia,RPB,YRRB,airport
Innisfail Airport,Innisfail,Australia,IFL,YIFL,airport
Moomba Airport,Moomba,Australia,MOO,YOOM,airport
Onslow Airport,Onslow,Australia,ONS,YOLW,airport
Theodore Airport,Theodore,Australia,TDR,YTDR,airport
Chinchilla Airport,Chinchilla,Australia,CCL,YCCA,airport
Shute Harbour Airport,Shute Harbour,Australia,JHQ,YSHR,airport
Shepparton Airport,Shepparton,Australia,SHT,YSHT,airport
Temora Airport,Temora,Australia,TEM,YTEM,airport
Gayndah Airport,Gayndah,Australia,GAH,YGAY,airport
Wilcannia Airport,Wilcannia,Australia,WIO,YWCA,airport
Lake Macquarie Airport,Lake Macquarie,Australia,BEO,YPEC,airport
Brampton Island Airport,Brampton Island,Australia,BMP,YBPI,airport
Busselton Regional Airport,Brusselton,Australia,BQB,YBLN,airport
Inverell Airport,Inverell,Australia,IVR,YIVL,airport
Glen Innes Airport,Glen Innes,Australia,GLI,YGLI,airport
Fortescue - Dave Forrest Aerodrome,Cloudbreak,Australia,KFE,YFDF,airport
Solomon Airport,Solomon,Australia,SLJ,YSOL,airport
Coonabarabran Airport,Coonabarabran,Australia,COJ,YCBB,airport
Bairnsdale Airport,Bairnsdale,Australia,BSJ,YBNS,airport
Prominent Hill Airport,Prominent Hill,Australia,PXH,YPMH,airport
Cowra Airport,Chatsworth,Australia,CWT,YCWR,airport
Toowoomba Wellcamp Airport,Toowoomba,Australia,WTB,YBWW,airport
Clermont Airport,Clermont,Australia,CMQ,YCMT,airport
Warrnambool Airport,Warrnambool,Australia,WMB,YWBL,airport
Richmond Airport,Richmond,Australia,RCM,YRMD,airport
RAAF Base Curtin,Derby,Australia,DCN,YCIN,airport
Bunbury Airport,Bunbury,Australia,BUY,YBUN,airport
Coondewanna Airport,Coondewanna,Australia,CJF,YCWA,airport
Borroloola Airport,Borroloola,Australia,BOX,YBRL,airport
Port Keats Airport,Wadeye,Australia,PKT,YPKT,airport
Garden Point Airport,Pirlangimpi,Australia,GPN,YGPT,airport
Horsham Airport,Horsham,Australia,HSM,YHSM,airport
Swan Hill Airport,Swan Hill,Australia,SWH,YSWH,airport
Dulkaninna Airport,Dulkaninna,Australia,DLK,YDLK,airport
Taroom Airport,Taroom,Australia,XTO,YTAM,airport
Alpha Airport,Alpha,Australia,ABH,YAPH,airport
Ararat Airport,,Australia,ARY,YARA,airport
Benalla Airport,,Australia,BLN,YBLA,airport
Balranald Airport,,Australia,BZD,YBRN,airport
Brewarrina Airport,,Australia,BWQ,YBRW,airport
Cleve Airport,,Australia,CVC,YCEE,airport
Corowa Airport,,Australia,CWW,YCOR,airport
Corryong Airport,,Australia,CYG,YCRG,airport
Cootamundra Airport,,Australia,CMD,YCTM,airport
Dirranbandi Airport,,Australia,DRN,YDBI,airport
