name, codename, country, iata, icao, type
Rhinelander Oneida County Airport,Rhinelander,United States,RHI,KRHI,airport
Southwest Wyoming Regional Airport,Rock Springs,United States,RKS,KRKS,airport
Rutland - Southern Vermont Regional Airport,Rutland,United States,RUT,KRUT,airport
San Luis County Regional Airport,San Luis Obispo,United States,SBP,KSBP,airport
Sheridan County Airport,Sheridan,United States,SHR,KSHR,airport
Adirondack Regional Airport,Saranac Lake,United States,SLK,KSLK,airport
Salina Municipal Airport,Salina,United States,SLN,KSLN,airport
Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,United States,SMX,KSMX,airport
Tupelo Regional Airport,Tupelo,United States,TUP,KTUP,airport
Quincy Regional Baldwin Field,Quincy,United States,UIN,KUIN,airport
Victoria Regional Airport,Victoria,United States,VCT,KVCT,airport
Valdosta Regional Airport,Valdosta,United States,VLD,KVLD,airport
Worland Municipal Airport,Worland,United States,WRL,KWRL,airport
Yakima Air Terminal McAllister Field,Yakima,United States,YKM,KYKM,airport
Adak Airport,Adak Island,United States,ADK,PADK,airport
Gustavus Airport,Gustavus,United States,GST,PAGS,airport
Skagway Airport,Skagway,United States,SGY,PAGY,airport
Holy Cross Airport,Holy Cross,United States,HCR,PAHC,airport
Haines Airport,Haines,United States,HNS,PAHN,airport
Kalskag Airport,Kalskag,United States,KLG,PALG,airport
McGrath Airport,Mcgrath,United States,MCG,PAMC,airport
Mountain Village Airport,Mountain Village,United States,MOU,PAMO,airport
Aniak Airport,Aniak,United States,ANI,PANI,airport
Chevak Airport,Chevak,United States,VAK,PAVA,airport
Wrangell Airport,Wrangell,United States,WRG,PAWG,airport
Kalaupapa Airport,Molokai,United States,LUP,PHLU,airport
Aleknagik / New Airport,Aleknagik,United States,WKK,5A8,airport
Mercer County Airport,Bluefield,United States,BLF,KBLF,airport
Mid Delta Regional Airport,Greenville,United States,GLH,KGLH,airport
Tri Cities Airport,Pasco,United States,PSC,KPSC,airport
Akutan Seaplane Base,Akutan,United States,KQA,KQA,airport
